latest.student.size,latest.cost.tuition.in_state,school.name,school.state,school.city
521.0,,South Texas Vocational Technical Institute-Weslaco,TX,Weslaco
546.0,,Miller-Motte College-STVT-McAllen,TX,McAllen
7277.0,67040.0,Southern Methodist University,TX,Dallas
21.0,,Southwest School of Business and Technical Careers-San Antonio,TX,San Antonio
3306.0,2646.0,Southwest Texas College,TX,Uvalde
1479.0,25064.0,Nelson University,TX,Waxahachie
1440.0,53813.0,Southwestern University,TX,Georgetown
8728.0,11128.0,Stephen F Austin State University,TX,Nacogdoches
36177.0,11450.0,Texas State University,TX,San Marcos
570.0,25380.0,Southwestern Adventist University,TX,Keene
110.0,14638.0,Southwestern Christian College,TX,Terrell
1396.0,7592.0,Sul Ross State University,TX,Alpine
12673.0,8302.0,Tarleton State University,TX,Stephenville
42300.0,1863.0,Tarrant County College District,TX,Fort Worth
3178.0,3000.0,Temple College,TX,Temple
,,University of Texas Southwestern Medical Center,TX,Dallas
930.0,,The University of Texas Health Science Center at San Antonio,TX,San Antonio
545.0,,The University of Texas Medical Branch at Galveston,TX,Galveston
1502.0,2476.0,Texarkana College,TX,Texarkana
4748.0,9892.0,Texas A&M University-Kingsville,TX,Kingsville
59615.0,13154.0,Texas A&M University-College Station,TX,College Station
32294.0,11950.0,The University of Texas at Arlington,TX,Arlington
42855.0,11688.0,The University of Texas at Austin,TX,Austin
21751.0,14644.0,The University of Texas at Dallas,TX,Richardson
21005.0,9744.0,The University of Texas at El Paso,TX,El Paso
7440.0,9736.0,The University of Texas at Tyler,TX,Tyler
,,Texas Chiropractic College Foundation Inc,TX,Pasadena
11026.0,61740.0,Texas Christian University,TX,Fort Worth
614.0,10008.0,Texas College,TX,Tyler
41.0,,University of North Texas Health Science Center,TX,Fort Worth
1304.0,36230.0,Texas Lutheran University,TX,Seguin
3911.0,9236.0,The University of Texas Permian Basin,TX,Odessa
30580.0,9011.0,The University of Texas at San Antonio,TX,San Antonio
6844.0,9173.0,Texas Southern University,TX,Houston
32394.0,11852.0,Texas Tech University,TX,Lubbock
1741.0,39582.0,Texas Wesleyan University,TX,Fort Worth
8767.0,8640.0,Texas Woman's University,TX,Denton
2505.0,53676.0,Trinity University,TX,San Antonio
465.0,,The University of Texas Health Science Center at Houston,TX,Houston
1482.0,,Texas Tech University Health Sciences Center,TX,Lubbock
9087.0,2400.0,Tyler Junior College,TX,Tyler
2632.0,,Universal Technical Institute of Texas Inc.,TX,Houston
53.0,,UCAS University of Cosmetology Arts & Sciences-McAllen,TX,McAllen
2113.0,3720.0,Vernon College,TX,Vernon
73.0,,Victoria Beauty & Barber College,TX,Victoria
2351.0,2976.0,Victoria College,TX,Victoria
344.0,,Vogue College of Cosmetology-McAllen,TX,McAllen
2041.0,23782.0,Wayland Baptist University,TX,Plainview
5094.0,5250.0,Weatherford College,TX,Weatherford
6917.0,9101.0,West Texas A & M University,TX,Canyon
599.0,3300.0,Western Texas College,TX,Snyder
4585.0,3192.0,Wharton County Junior College,TX,Wharton
712.0,12500.0,Wiley University,TX,Marshall
607.0,17893.0,Parker University,TX,Dallas
8801.0,3412.0,Palo Alto College,TX,San Antonio
39.0,,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,TX,San Antonio
122.0,,Central Texas Beauty College-Round Rock,TX,Round Rock
26449.0,2014.0,Collin County Community College District,TX,McKinney
273.0,,Ogle School Hair Skin Nails-Hurst,TX,Hurst
288.0,,Paul Mitchell the School-Houston,TX,Houston
254.0,15313.0,Commonwealth Institute of Funeral Service,TX,Houston
65.0,10970.0,Interactive College of Technology,TX,Houston
305.0,,Northwest Educational Center,TX,Houston
256.0,,PCI Health Training Center,TX,Dallas
154.0,16071.0,Remington College-Fort Worth Campus,TX,North Richland Hills
24.0,,UCAS University of Cosmetology Arts & Sciences,TX,San Antonio
88.0,,School of Automotive Machinists & Technology,TX,Houston
12.0,,Nuvani Institute,TX,San Antonio
77.0,,Nuvani Institute,TX,Eagle Pass
40.0,,Texas College of Cosmetology-Abilene,TX,Abilene
631.0,,College of Health Care Professions,TX,Houston
271.0,,Center for Advanced Legal Studies,TX,Houston
198.0,,Houston Training School-Main Campus,TX,Houston
415.0,,Ogle School Hair Skin Nails-Dallas,TX,Dallas
47.0,2766.0,Southwest College for the Deaf,TX,Big Spring
32.0,,Central Texas Beauty College-Temple,TX,Temple
419.0,9350.0,College of Biblical Studies-Houston,TX,Houston
4530.0,,The College of Health Care Professions-Northwest,TX,Houston
455.0,,Fortis College,TX,Houston
126.0,,Tri-State Cosmetology Institute,TX,El Paso
578.0,,Southern Careers Institute-Corpus Christi,TX,Corpus Christi
2953.0,17048.0,Galen College of Nursing-San Antonio,TX,San Antonio
87.0,,UCAS University of Cosmetology Arts & Sciences-Harlingen,TX,Harlingen
596.0,,Southern Careers Institute-Pharr,TX,Pharr
15856.0,4920.0,South Texas College,TX,McAllen
78.0,,Baldwin Beauty School-North Austin,TX,Austin
334.0,,The University of Texas MD Anderson Cancer Center,TX,Houston
24.0,11620.0,Messenger College,TX,Bedford
8.0,,Pipo Academy of Hair Design,TX,El Paso
220.0,,Tint School of Makeup and Cosmetology-Dallas,TX,Grand Prairie
72.0,,Texas College of Cosmetology-San Angelo,TX,San Angelon
13993.0,3412.0,Northwest Vista College,TX,San Antonio
,,Bakke Graduate University,TX,Dallas
22.0,,Mid Cities Barber College,TX,Grand Prairie
,,American College of Acupuncture and Oriental Med,TX,Houston
584.0,,Southern Careers Institute-San Antonio,TX,San Antonio
,,Texas Health and Science University,TX,Austin
62.0,,Graduate America College,TX,Garland
67.0,,CET-El Paso,TX,El Paso
74.0,,Academy of Hair Design-Lufkin,TX,Lufkin
91.0,,Advanced Barber College and Hair Design,TX,Weslaco
974.0,,The College of Health Care Professions-Austin,TX,Austin
2.0,,The Chicago School-College of Nursing,TX,Richardson
379.0,,Milan Institute-San Antonio Ingram,TX,San Antonio
251.0,12480.0,The King's University,TX,Southlake
86.0,10970.0,Interactive College of Technology,TX,Pasadena
271.0,,Milan Institute-Amarillo,TX,Amarillo
518.0,,Texas Barber College,TX,Houston
268.0,,Concorde Career College-Grand Prairie,TX,Grand Prairie
3055.0,2844.0,Lamar Institute of Technology,TX,Beaumont
495.0,16757.0,Aviation Institute of Maintenance-Dallas,TX,Irving
8.0,,Dallas Barber & Stylist College,TX,Dallas
79.0,,Jay's Technical Institute,TX,Houston
30.0,,Trend Barber College,TX,Houston
84.0,,Valley Grande Institute for Academic Studies,TX,Weslaco
55.0,10970.0,Interactive College of Technology,TX,Houston
99.0,9180.0,Baptist University of the Americas,TX,San Antonio
305.0,,Auguste Escoffier School of Culinary Arts-Austin,TX,Austin
313.0,18827.0,Culinary Institute Inc,TX,Houston
94.0,14829.0,American InterContinental University-Houston,TX,Houston
88.0,16373.0,Remington College-North Houston Campus,TX,Houston
52.0,,Academy of Hair Design-Jasper,TX,Jasper
681.0,,The College of Health Care Professions-Southwest Houston,TX,Houston
192.0,,Texas Health School,TX,Houston
766.0,,The College of Health Care Professions-San Antonio,TX,San Antonio
305.0,,CCI Training Center-Arlington,TX,Arlington
75.0,,Southeast Texas Career Institute,TX,Silsbee
